date,production,production_total
2011-09-01,1898.0,3894.2
2011-10-01,1996.2,3894.2
2011-11-01,1996.2,3894.2
2011-12-01,1996.2,3894.2
2012-01-01,2717.0,3845.9
2012-02-01,2717.0,3845.9
2012-03-01,2717.0,3845.9
2012-04-01,2717.0,3845.9
2012-05-01,1129.0,3845.9
2012-06-01,1129.0,3845.9
2012-07-01,1129.0,3845.9
2012-08-01,1129.0,3845.9
2012-09-01,1129.0,3845.9
2012-10-01,2717.0,3845.9
2012-11-01,2717.0,3845.9
2012-12-01,2717.0,3845.9
2013-01-01,2846.3,4620.7
2013-02-01,2846.3,4620.7
2013-03-01,2846.3,4620.7
2013-04-01,2846.3,4620.7
2013-05-01,1774.5,4620.7
2013-06-01,1774.5,4620.7
2013-07-01,1774.5,4620.7
2013-08-01,1774.5,4620.7
2013-09-01,1774.5,4620.7
2013-10-01,2846.3,4620.7
2013-11-01,2846.3,4620.7
2013-12-01,2846.3,4620.7
2014-01-01,2235.9,3380.8
2014-02-01,2235.9,3380.8
2014-03-01,2235.9,3380.8
2014-04-01,2235.9,3380.8
2014-05-01,1144.9,3380.8
2014-06-01,1144.9,3380.8
2014-07-01,1144.9,3380.8
2014-08-01,1144.9,3380.8
2014-09-01,1144.9,3380.8
2014-10-01,2235.9,3380.8
2014-11-01,2235.9,3380.8
2014-12-01,2235.9,3380.8
2015-01-01,2877.0,4819.4
2015-02-01,2877.0,4819.4
2015-03-01,2877.0,4819.4
2015-04-01,2877.0,4819.4
2015-05-01,1942.4,4819.4
2015-06-01,1942.4,4819.4
2015-07-01,1942.4,4819.4
2015-08-01,1942.4,4819.4
2015-09-01,1942.4,4819.4
2015-10-01,2877.0,4819.4
2015-11-01,2877.0,4819.4
2015-12-01,2877.0,4819.4
2016-01-01,2902.69,4420.09
2016-02-01,2902.69,4420.09
2016-03-01,2902.69,4420.09
2016-04-01,2902.69,4420.09
2016-05-01,1517.39,4420.09
2016-06-01,1517.39,4420.09
2016-07-01,1517.39,4420.09
2016-08-01,1517.39,4420.09
2016-09-01,1517.39,4420.09
2016-10-01,2902.69,4420.09
2016-11-01,2902.69,4420.09
2016-12-01,2902.69,4420.09
2017-01-01,1473.83,2383.15
2017-02-01,1473.83,2383.15
2017-03-01,1473.83,2383.15
2017-04-01,1473.83,2383.15
2017-05-01,909.32,2383.15
2017-06-01,909.32,2383.15
2017-07-01,909.32,2383.15
2017-08-01,909.32,2383.15
2017-09-01,909.32,2383.15
2017-10-01,1473.83,2383.15
2017-11-01,1473.83,2383.15
2017-12-01,1473.83,2383.15
2018-01-01,2396.93,3929.83
2018-02-01,2396.93,3929.83
2018-03-01,2396.93,3929.83
2018-04-01,2396.93,3929.83
2018-05-01,1532.91,3929.83
2018-06-01,1532.91,3929.83
2018-07-01,1532.91,3929.83
2018-08-01,1532.91,3929.83
2018-09-01,1532.91,3929.83
2018-10-01,2396.93,3929.83
2018-11-01,2396.93,3929.83
2018-12-01,2396.93,3929.83
2019-01-01,3072.58,4592.06
2019-02-01,3072.58,4592.06
2019-03-01,3072.58,4592.06
2019-04-01,3072.58,4592.06
2019-05-01,1519.48,4592.06
2019-06-01,1519.48,4592.06
2019-07-01,1519.48,4592.06
2019-08-01,1519.48,4592.06
2019-09-01,1519.48,4592.06
2019-10-01,3072.58,4592.06
2019-11-01,3072.58,4592.06
2019-12-01,3072.58,4592.06
2020-01-01,3196.75,5120.92
2020-02-01,3196.75,5120.92
2020-03-01,3196.75,5120.92
2020-04-01,3196.75,5120.92
2020-05-01,1924.17,5120.92
2020-06-01,1924.17,5120.92
2020-07-01,1924.17,5120.92
2020-08-01,1924.17,5120.92
2020-09-01,1924.17,5120.92
2020-10-01,3196.75,5120.92
2020-11-01,3196.75,5120.92
2020-12-01,3196.75,5120.92
2021-01-01,3061.39,5149.6
2021-02-01,3061.39,5149.6
2021-03-01,3061.39,5149.6
2021-04-01,3061.39,5149.6
2021-05-01,2088.2,5149.6
2021-06-01,2088.2,5149.6
2021-07-01,2088.2,5149.6
2021-08-01,2088.2,5149.6
2021-09-01,2088.2,5149.6
2021-10-01,3061.39,5149.6
2021-11-01,3061.39,5149.6
2021-12-01,3061.39,5149.6
2022-01-01,1931.2,3392.875
2022-02-01,1931.2,3392.875
2022-03-01,1931.2,3392.875
2022-04-01,1931.2,3392.875
2022-05-01,1461.675,3392.875
2022-06-01,1461.675,3392.875
2022-07-01,1461.675,3392.875
2022-08-01,1461.675,3392.875
2022-09-01,1461.675,3392.875
2022-10-01,1931.2,3392.875
2022-11-01,1931.2,3392.875
2022-12-01,1931.2,3392.875
